,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
223,0.3069721221923828,0.015946880266483308,0.009373188018798828,0.007653176210885818,0.001,"(25, 25)",17,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 17}",0.9956709956709955,0.9702127659574458,0.9956331877729255,0.9500000000000001,0.9870129870129869,0.9797181124396157,0.01751527642833341,262,0.9923830250272034,0.9621052631578901,0.9859762675296639,0.9817400644468336,0.9870410367170634,0.9818491313757308,0.010438240054390719
224,0.3501919746398926,0.018527158864473574,0.010678768157958984,0.006402751777507067,0.001,"(100, 25, 100)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 2}",1.0,0.9956331877729255,1.0,0.9870129870129869,0.9956331877729256,0.9956599842999238,0.004741109899944338,99,0.9978118161925601,0.995642701525054,0.994559303590859,0.997816593886463,1.0,0.9971660830389872,0.0018966924546905415
225,0.3840322971343994,0.020932057169279532,0.003124237060546875,0.00624847412109375,0.001,"(100, 25, 100)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 3}",1.0,0.9827586206896546,1.0,0.9870129870129869,0.9956331877729256,0.9930842570673983,0.007010218715488573,140,1.0,0.9902491874322847,0.9891774891774876,0.992399565689469,0.996728462377318,0.9937109409353118,0.004072181890921698
226,0.4410567283630371,0.010850114257253771,0.0075552940368652345,0.007012081048638003,0.001,"(100, 25, 100)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 4}",1.0,0.9956331877729255,1.0,1.0,1.0,0.9991263615234709,0.0017469318800909074,37,1.0,1.0,0.9989071038251364,0.9989071038251368,0.9989071038251368,0.999344262295082,0.0005354075940509431
227,0.3871739387512207,0.03395520741727229,0.0031290531158447267,0.0062581062316894535,0.001,"(100, 25, 100)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 5}",0.9871244635193127,0.9743589743589737,1.0,0.9620253164556963,1.0,0.9847048484957253,0.014793978439094841,229,0.9859459459459458,0.972340425531912,0.9978165938864626,0.9754535752401305,0.9989071038251368,0.9860927288859175,0.01099087074534695
228,0.38847804069519043,0.03030366762615926,0.006244516372680664,0.007647944316509944,0.001,"(100, 25, 100)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 6}",1.0,0.9956331877729255,1.0,0.9956331877729256,0.9956331877729258,0.997381844881555,0.0021396858552981944,80,0.9989047097480832,0.9967284623773167,1.0,0.9967284623773178,0.9967284623773176,0.9978180193760071,0.0013786470736504393
229,0.3069760799407959,0.007674247225634862,0.007549667358398437,0.007005470303802998,0.001,"(100, 25, 100)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 7}",0.9956709956709957,1.0,1.0,1.0,1.0,0.9991325572867924,0.0017328319018132905,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
230,0.3483755588531494,0.016408854684046747,0.003124237060546875,0.00624847412109375,0.001,"(100, 25, 100)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 8}",1.0,1.0,1.0,0.982758620689655,1.0,0.9965560835258729,0.006893280029333406,84,1.0,1.0,1.0,0.9849137931034502,1.0,0.9969827586206901,0.00603448275861993
231,0.3770156383514404,0.007340465444965989,0.008851337432861327,0.008767200477399612,0.001,"(100, 25, 100)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 9}",0.9913793103448273,0.9956331877729255,1.0,1.0,1.0,0.9973989540514799,0.003455577937060307,62,0.9934640522875817,1.0,0.9989071038251364,0.9989071038251368,0.9989071038251368,0.9980370727525983,0.002325358542401546
232,0.37203116416931153,0.012883380396486479,0.009368181228637695,0.00764909284791069,0.001,"(100, 25, 100)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 10}",1.0,0.9913043478260867,1.0,1.0,0.9913043478260869,0.9965233881163084,0.004259645231055013,87,1.0,0.9945593035908592,0.9945593035908592,0.9978165938864633,0.9956427015250549,0.9965155805186473,0.0021094914780161174
233,0.36582255363464355,0.00818318301980259,0.003124237060546875,0.00624847412109375,0.001,"(100, 25, 100)",11,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 11}",1.0,0.9956331877729255,1.0,1.0,0.9956331877729258,0.998254103202513,0.002139123150966509,46,1.0,0.9978165938864626,1.0,1.0,1.0,0.9995633187772924,0.0008733624454149602
234,0.3822364807128906,0.015317572433631688,0.007549476623535156,0.009472211693620131,0.001,"(100, 25, 100)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 12}",1.0,0.9913043478260867,0.9956331877729255,1.0,1.0,0.9973866814267303,0.003480407193287819,76,0.9989047097480831,0.9989071038251365,0.996728462377317,1.0,1.0,0.9989080551901072,0.0011945981635970964
235,0.38900146484375,0.023090446250515043,0.009372806549072266,0.007652864502995233,0.001,"(100, 25, 100)",13,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 13}",1.0,1.0,0.9956331877729255,0.9870129870129869,0.9870129870129869,0.9939381237182924,0.0058692744766441225,123,1.0,0.9967284623773169,0.9967284623773169,0.9902491874322875,0.9849137931034493,0.9937239810580742,0.005424681231047485
