,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
187,0.20984625816345215,0.06547623152442994,0.0,0.0,0.001,"(50,)",13,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 13}",0.9139492753623188,0.98476353928299,0.9673722349351639,0.9508302689037003,0.9901698843177815,0.9614117412394747,0.027471255434234326,122,0.9370216288269695,0.9912854030501089,0.980655529755762,0.9449863266708664,0.9866682058110454,0.9681234188229505,0.022539240521425658
188,0.3007343292236328,0.027965334241327085,0.0,0.0,0.001,"(50,)",14,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 14}",0.9771453089244851,0.9901697177726927,0.9891113653699467,0.9857839194055007,0.9846778518348271,0.9853777182782006,0.004591105618729899,92,0.9890816706799682,0.9939979646829492,0.9893557934869854,0.9871830436401121,0.9819955901723841,0.9883228125324799,0.003877707652556136
189,0.21429767608642578,0.06481587650265865,0.0,0.0,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 15}",0.9607551487414188,0.932418001525553,0.9444221967963387,0.9158574657166936,0.979224124722286,0.9465348009148579,0.02197332145754108,147,0.955511480908153,0.9484093710583649,0.9595982398807477,0.9021453167058016,0.9863564992459385,0.9504041815598011,0.027335258067122108
190,0.29447474479675295,0.0233931757922117,0.0031244754791259766,0.006248950958251953,0.001,"(50,)",16,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 16}",0.9847254004576659,0.9738176964149504,0.9803775743707095,0.989063816747108,0.9780989044664061,0.9812152988635293,0.005273241557261054,104,0.9871628110308452,0.9849698285747048,0.9885262584565989,0.9841760447091612,0.9732570681327911,0.9836184021808203,0.005406374923406362
191,0.19293479919433593,0.09101313554181142,0.0013009071350097655,0.002601814270019531,0.001,"(50,)",17,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 17}",0.8702231121281464,0.8505625476735316,0.9520785659801678,0.8579158047958324,0.9245432084578259,0.8910645516234255,0.04004644218231554,196,0.8916390752207317,0.8741597150556127,0.9525247964682948,0.8603298064257487,0.9116477435427522,0.898060227342628,0.032208881480897025
192,0.06641626358032227,0.010385898132174106,0.0,0.0,0.001,"(25,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 2}",0.6036994660564454,0.5908657513348589,0.6006006864988558,0.6209539952501341,0.5990145943461274,0.6030228395396992,0.009914699112797316,282,0.6115715657608072,0.6004113633757596,0.6115500659328058,0.6062033484145619,0.606132356871504,0.6071737400710877,0.004153287284791305
193,0.06768851280212403,0.012024135750960483,0.0031241893768310545,0.006248378753662109,0.001,"(25,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 3}",0.5681826849733027,0.5671243325705567,0.565045766590389,0.5207279935646978,0.5828257871753619,0.5607865664302903,0.020984106655951927,312,0.5766719699575737,0.5741582817337461,0.5782772904483431,0.5170901699978999,0.5860283274153828,0.566445207910589,0.024993978010110177
194,0.06198396682739258,0.009042723327702859,0.001300954818725586,0.002601909637451172,0.001,"(25,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 4}",0.6244755911517924,0.6135488176964149,0.5930968726163234,0.626436451390485,0.6143175898260936,0.614371562811559,0.011841805830289433,269,0.6096921224630204,0.635814413484692,0.6164735265451209,0.6100285397934443,0.6113365142317163,0.6166690233035987,0.00987717574773764
195,0.07395367622375489,0.009031188711943649,0.0,0.0,0.001,"(25,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 5}",0.7200896262395119,0.6984267734553775,0.723512585812357,0.7267965218723665,0.7366553665823949,0.7210899730599424,0.012612689459282601,253,0.7369119797041624,0.7259255675954593,0.7136760405916752,0.7098256471565202,0.7068270001718114,0.7186332470439257,0.011214501179124219
196,0.1340939998626709,0.016186791890340467,0.0031250476837158202,0.006250095367431641,0.001,"(25,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 6}",0.8527936689549962,0.8342295957284517,0.8626430205949656,0.8644372941086339,0.8905807094154602,0.8609271890650513,0.018293100661121185,222,0.8643056272216488,0.8645654168099987,0.8662352367847722,0.8690349206803734,0.8635984002443539,0.8655479203482294,0.0019463200790576117
